subject,question,answer
The Basics,Are my deposits with EQ Bank covered by CDIC?,"<p>Yes—deposits made under EQ Bank and Equitable Bank are aggregately eligible for CDIC protection up to $100,000, per insured category, per depositor, as outlined in CDIC’s ""<a href=""https://www.cdic.ca/your-coverage/protecting-your-deposit/"" target=""_blank"" rel=""noopener"">Protecting Your Deposits</a>"". For example, you’re covered for up to $100,000 combined across your individual Savings Plus Account, EQ Bank GICs, and any deposits in your name that you have with Equitable Bank. Eligible deposits in your joint account are insured separately.</p>
<p>EQ Bank is a trademark of Equitable Bank. Equitable Bank is a member of the CDIC. </p>"
The Basics,How long does EQ Bank hold my funds for?,"<p>Generally, we hold funds deposited by cheque or Electronic Funds Transfer (EFT) for five business days, beginning after the date of deposit. This means that funds held will actually become available by the sixth business day, when you include the date of deposit. </p>
<p>For example, if you make a deposit on a Monday, you can access the funds on the following Tuesday.</p>
<p>Although the deposit is reflected immediately in your account balance, you won’t be able to withdraw or transfer your funds until the hold period has passed. However, during the hold period, you still earn interest on the deposit amount. For more details, check out our <a href=""/general-banking/legal/hold-funds-policy"">Hold Funds Policy</a>.</p>"
The Basics,Who is EQ Bank?,"<p>EQ Bank offers Canadians a digital banking experience. We launched officially in January 2016 with a commitment to help Canadians get the most out of their money. </p>
<p>Based in Toronto, EQ Bank is a trademark of Equitable Bank. Equitable Bank is a federally regulated Schedule I bank with over 900 employees across Canada. </p>"
The Basics,Who is Equitable Bank?,"<p>Equitable Bank, Canada’s Challenger Bank<sup>TM</sup>, is the country’s ninth largest independent Schedule I bank. EQ Bank is the digital arm of Equitable Bank. You can learn more by visiting <a href=""https://www.equitablebank.ca/"" target=""_blank"" rel=""noopener"">www.equitablebank.ca</a>. </p>"
The Basics,How does EQ Bank make money?,"<p>Good question! Banks typically make money by accepting deposits from customers, and then providing loans to other customers and earning interest from those loans. We use the deposits from EQ Bank to furnish Equitable Bank’s residential and commercial loans, and earn interest. </p>
<p>As a branchless bank, we’re able to reduce our operating costs, and pass on those savings to you in the form of a great everyday interest rate on the Savings Plus Account.</p>"
The Basics,Is EQ Bank hiring? I want to come work for you!,"<p>We’re always looking for good people! Check out our <a href=""/company/careers"">latest job postings</a>.</p>"
Opening an account,How do I open an EQ Bank account?,"<p>It’s really easy! You can open an account by visiting <a href=""/"">www.eqbank.ca</a> and <a href=""https://join.eqbank.ca"">applying online</a>.</p>"
Opening an account,Who can open an EQ Bank account?,"<p>All EQ Bank customers must:</p>
<ul>
    <li>Be a Canadian resident</li>
    <li>Meet their province’s age of majority (18 or 19 years old, depending on where you live)</li>
    <li>Have a Social Insurance Number</li>
</ul>
<p>
Please note: EQ Bank is not available in Quebec.</p>"
Opening an account,Does EQ Bank pull my credit report when I open an account?,"<p>As part of our online identity verification process, we do a “soft” credit check—meaning your credit score won’t be affected and won’t be visible to other third parties who view your credit report.</p>"
Opening an account,Why do I need to provide my Social Insurance Number (SIN) when opening an account?,<p>The Income Tax Act requires all banks to obtain your Social Insurance Number when you open an account that earns interest (this includes the Savings Plus Account and GICs). Banks are required to report the interest you earn each year to the Canada Revenue Agency.</p>
Opening an account,Does EQ Bank support Mint?,<p>We don’t officially support access to your Savings Plus Account through Mint.</p>
Opening an account,Does EQ Bank offer business accounts?,"<p>Unfortunately, we do not currently offer business accounts. The Savings Plus Account is for personal use only. </p>"
Opening an account,Can I use EQ Bank if I live outside of Canada?,"<p>You can continue to access your existing account while travelling outside of Canada. However, all EQ Bank account holders must be Canadian residents in order to maintain their account.</p>"
Opening an account,Why is EQ Bank asking me to verify my identity through Canada Post?,"<p>If we’re unable to verify your identity through TransUnion (a credit reporting agency), you can do so by visiting Canada Post. Similar to showing your government-issued photo ID at a bank branch, we’ve partnered with Canada Post to make verifying your identity as quick and convenient as possible. <a href=""https://www.canadapost.ca/cpotools/apps/fpo/personal/findPostOffice?"" target=""_blank"" rel=""noopener"">Find the participating Canada Post outlet</a> that’s closest to you.</p>"
Opening an account,What do I need to bring with me to Canada Post?,"<p>You’ll need to bring:</p>
<ul>
    <li>1 piece of government-issued photo ID</li>
    <li>1 proof of address document (if your photo ID doesn’t have your current address)</li>
    <li>Your Canada Post DSS number (see <a href=""#what-is-my-canada-post-dss-number-and-why-is-it-important"">What is my Canada Post DSS number and why is it important?</a>) </li>
</ul>"
Opening an account,What types of photo ID are accepted by Canada Post?,"<p>Canada Post will validate your identity based on the information you provided for your EQ Bank account application. Your government-issued photo ID cannot be expired, and the first and last name, address, and birthdate must be an exact match to the information you provided to us. </p>
<p>You’ll need to show one of the following pieces of government-issued photo ID:</p>
<ul>
    <li>Canadian driver’s license</li>
    <li>Provincial or territorial photo ID card</li>
    <li>Canadian Secure Certificate of Indian Status</li>
    <li>Canadian passport</li>
    <li>Canadian permanent resident card</li>
</ul>"
