question,answer
What is AutoQL?,"<p>Everyone needs access to data to make informed decisions and take strategic action. We believe getting answers and information from a database should (and can) be as simple as having a conversation. So, we built <span class=""glossary-tooltip""><span class=""glossary-item highlight"">AutoQL</span></span> to help people access their data in a more intuitive way.</p>
<p>AutoQL is an API-first solution that simplifies data access and streamlines analysis by making data accessible to everyone — even non-technical business users — through natural language.</p>
<p>Leveraging conversational AI technologies and embeddable in any branded or proprietary application, AutoQL is the only self-service data access solution that dynamically translates natural language into database query languages in real time. Users simply ask questions about their data in their own words and immediately receive responses in easy-to-understand visualizations.</p>"
Why implement AutoQL in my software or enterprise solution?,"<p><span data-contrast=""auto"">By implementing AutoQL in your solution, you can expect to: </span><span data-ccp-props='{""134233117"":true,""134233118"":true}'> </span></p>
<ul>
<li>Boost revenue, attract new users, and add value for your existing loyal customers.</li>
<li>Stand out in your market with cutting-edge AI technology that drives value for every user.</li>
<li><span data-contrast=""auto"">Save on costs by significantly reducing incoming support tickets and ad hoc reporting requests.</span><span data-ccp-props='{""134233117"":true,""134233118"":true}'> </span></li>
<li><span data-contrast=""auto"">L</span><span data-contrast=""auto"">everage your skilled team and internal resources for high-value, revenue-generating projects.</span></li>
<li><span data-contrast=""auto"">Gain an edge over competitors offering limited or rigid data access and reporting options. </span><span data-ccp-props='{""134233117"":true,""134233118"":true}'> </span></li>
<li><span data-contrast=""auto"">K</span>eep users engaged in your app instead of losing them to third-party BI tools.</li>
</ul>"
Why work with Chata?,"<p>Getting data into the hands of more users more easily and more often is critical to the success of every business. We’re dedicated to working with our customers and partners to reimagine the future of data accessibility and transform the way business users interact with data every day.</p>
<p>Here’s some of the reasons you should consider working with us:</p>
<ul>
<li>Gain an edge in the market with cutting-edge conversational AI technology that enables anyone to access data on demand using natural language.</li>
<li>Rely on our expert team of data scientists and CX professionals at every stage. We’ll work closely with you to learn about your product, goals, and the challenges faced by your team and your users so we can provide solutions that meet and exceed your expectations.</li>
<li>Low-lift, low-effort experiences for our customers guarantee a high return on investment. We rapidly generate custom training data and build a unique model specifically for your database, and we won’t charge you anything until AutoQL is live and operational in your solution.</li>
<li>Best-in-class developer experiences are our core focus and promise. Developers are supported through our comprehensive developer-first resources and robust Integrator Portal, empowering them to build and deliver new value quickly and confidently.</li>
</ul>"
Is AutoQL a SaaS application?,"<p>AutoQL is not a SaaS application.</p>
<p>AutoQL is an API-first solution that dynamically translates natural language to database query languages. AutoQL embeds directly within any branded or proprietary application and operates behind-the-scenes to facilitate frictionless access to databases through natural language.</p>
<p>SaaS developers and enterprise solution providers can leverage AutoQL to deliver new “data on demand” functionality within their existing solutions.</p>
<p>We’ve also developed flexible widgets like Data Messenger and Dashboards so developers can easily integrate AutoQL and support best-in-class user experiences on the front end of their tools. These widgets are open source and completely customizable, so end users always experience AutoQL as a native part of existing SaaS and enterprise applications.</p>"
What does the AutoQL API do?,"<p><span data-contrast=""auto"">The AutoQL API is a powerful and secure API that dynamically translates natural language to database query languages. </span></p>
<p>Here’s some quick facts about our API:</p>
<ul>
<li>The AutoQL API is organized around REST.</li>
<li>Our API has predictable resource-oriented URLs, accepts and returns JSON-encoded request bodies, and uses standard HTTP response codes and verbs.</li>
<li>Our API is secured with JWT in conjunction with an API key.</li>
</ul>
<p><span data-contrast=""auto"">The AutoQL API makes it possible for business users — even (and especially) non-technical users — to access and analyze data in real time by asking questions in their own words, all from the software and web environments they’re already familiar with.</span></p>
<p>Learn more about what principles guide our API, how to manage API keys, and more in our <a href=""https://chata.readme.io/reference/introduction"">API Reference</a> or in our <a href=""https://chata.readme.io/docs"">Developer Docs</a>.</p>"
Who is AutoQL for?,"<p><span data-contrast=""auto"">AutoQL is for software application providers, web portal developers, systems integrators, and service providers who are looking to monetize data accessibility as an asset, reduce strain on internal resources, and differentiate their offerings from competitors by making data accessible to end users through natural language.</span></p>
<p>Embedding AutoQL allows SaaS providers and enterprise solution providers to leverage powerful AI technology to meet the ever-increasing demands of today’s data-powered organizations and unlock unprecedented new business value.</p>
<p><a href=""https://chata.ai/autoql/solutions/""><span data-contrast=""auto"">Click </span><span data-contrast=""auto"">here</span></a><span data-contrast=""auto""> for more information about how </span><span data-contrast=""auto"">AutoQL</span><span data-contrast=""auto""> serves your software or industry vertical.</span></p>"
I'm interested in learning more about AutoQL. How do I get started?,"<p>Our dedicated team of experts will work closely with you to guide you through each stage of your AutoQL integration, from early stage consulting and discovery, to customizing our AI for your database, planning your feature release, and providing ongoing strategic support.</p>
<p>Reach out to us at <a title="""" href=""mailto:info@chata.ai"" target="""" rel=""noopener noreferrer"">info@chata.ai</a> or <a title="""" href=""https://chata.ai/contact/"" target=""_blank"" rel=""noopener noreferrer"">book a discovery call with a member of our team.</a></p>"
What kinds of businesses and solutions benefit from implementing AutoQL?,"<p><span class=""TextRun SCXW148366292 BCX0"" lang=""EN-CA"" xml:lang=""EN-CA"" data-contrast=""auto""><span class=""NormalTextRun SCXW148366292 BCX0"">AutoQL is compatible with any type of business SaaS solution or cloud-based proprietary enterprise system. If your software or enterprise solution collects and stores operational data that customers and end-users need to access on a regular basis, <span class=""NormalTextRun SpellingErrorV2 SCXW148366292 BCX0"">AutoQL</span> will fundamentally transform the way everyone interacts with their data. For companies with mobile apps, <span class=""NormalTextRun SpellingErrorV2 SCXW148366292 BCX0"">AutoQL</span> also makes data access seamless from anywhere, on every device.<span class=""EOP SCXW148366292 BCX0"" data-ccp-props=""{}""> </span></span></span></p>
<p>Implementing AutoQL is a value-add opportunity that enables SaaS providers and enterprises to monetize data accessibility as an asset, reduce strain on internal resources, and differentiate their offerings from competitors by making data accessible through natural language.</p>
<p>Business users across every role and department benefit from an intuitive and reliable solution that allows them to access their data, whenever they need it.</p>"
Do you offer a free trial or a Proof of Concept?,"<p>Every database is unique and we build a custom language model for each customer we work with. This allows us to provide robust coverage for querying enterprise-grade databases, but this also means we’re not able to offer free trials of AutoQL, since there’s no “out of the box” version.</p>
<p>We do, however, offer a no-cost, no-commitment Proof of Concept. <a href=""https://chata.ai/contact/"">Get in touch with our team</a> to learn more about how this works and how to get started.</p>"
Are there any specific architecture requirements that must be met for implementation to be possible?,"<p>AutoQL is an extremely flexible API-first solution that can be customized for any software that uses a relational database. It works exceptionally well with cloud-native software solutions that have a web-based interface.</p>
<p>Independent Software Vendors (ISVs) that perform continuous deployments can readily take advantage of our end-to-end system that includes flexible front end widgets. Each widget takes just 2-3 hours on average to implement.</p>
<p>We can also integrate with on-premise software systems.</p>"
